group_code,X4_mean,X11_mean,X18_mean,X26_mean,X50_mean,X3112_mean
0.0,0.24536535499745363,654.6292656316056,2.33e-08,577876.6977827619,72.48375404589628,202016837.32837045
1.0,-2.431156713,57161.6644912236,2.33e-08,5.5e-07,9.68e-05,7.69e-08
2.0,-1.623116267385,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
3.0,-1.4642707097000003,6.78e-05,2.33e-08,155327.73360054725,1278.0792776255998,7.69e-08
4.0,-1.16039225152,3008.5087216644,2.33e-08,5.5e-07,9.68e-05,7.69e-08
5.0,-0.9048580935050001,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
6.0,-0.4628530634250003,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
7.0,-0.4145087632600002,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
8.0,-0.22803789119500006,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
9.0,-0.17969359102999993,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
10.0,-0.16588093384000002,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
11.0,-0.15897460524500007,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
12.0,-0.07609866210500016,1504.2543947322,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
13.0,-0.062286004914999804,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
14.0,-0.05537967632000029,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
15.0,-0.04156701913000038,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
16.0,-0.03466069053500043,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
17.0,0.006777281034999749,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
18.0,0.05512158119999988,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
19.0,0.07584056698499975,1504254.327,2.33e-08,5.5e-07,9.68e-05,7.69e-08
20.0,0.10346588136500001,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
21.0,0.11037220995999997,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
22.0,0.12418486714999988,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
23.0,0.14490385293499974,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
24.0,0.1518101815299997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
25.0,0.16562283872000005,6.78e-05,2.33e-08,5.5e-07,9.679999999999998e-05,7.69e-08
26.0,0.172529167315,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
27.0,0.17943549590999996,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
28.0,0.18634182450499992,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
29.0,0.19324815309999988,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
30.0,0.20015448169499983,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
31.0,0.20706081028999979,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
32.0,0.20706081028999979,6.78e-05,2.33e-08,5.5e-07,159.75999440319998,7.69e-08
33.0,0.21396713888499974,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
34.0,0.2208734674800001,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
35.0,0.22087346748000014,6.78e-05,2.33e-08,5.5e-07,159.75999440319998,7.69e-08
36.0,0.22777979607500007,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
37.0,0.23468612467000005,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
38.0,0.23468612467000005,6.78e-05,2.33e-08,5.5e-07,159.75999440319998,7.69e-08
39.0,0.241592453265,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
40.0,0.24849878185999996,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.690000000000001e-08
41.0,0.2554051104549999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
42.0,0.2623114390499999,6.78e-05,2.3299999999999997e-08,5.5e-07,9.68e-05,7.69e-08
43.0,0.26921776764499983,6.78e-05,2.3299999999999997e-08,5.5e-07,9.68e-05,7.69e-08
44.0,0.2761240962399998,6.78e-05,2.3299999999999997e-08,5.5e-07,9.68e-05,7.69e-08
45.0,0.2830304248350002,6.78e-05,2.33e-08,5.5e-07,9.679999999999998e-05,7.690000000000001e-08
46.0,0.28993675343000014,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
47.0,0.2968430820250001,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
48.0,0.30374941062000005,6.78e-05,2.3300000000000003e-08,5.5e-07,9.68e-05,7.69e-08
49.0,0.310655739215,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
50.0,0.31756206780999996,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
51.0,0.31756206780999996,1504.2543947322,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
52.0,0.3244683964049999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
53.0,0.3313747249999999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
54.0,0.3382810535949998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
55.0,0.3451873821900002,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
56.0,0.3520937107850002,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
57.0,0.35900003938000014,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
58.0,0.3659063679750001,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
59.0,0.37281269657000005,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
60.0,0.37971902516499956,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
61.0,0.3866253537599995,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
62.0,0.3935316823549999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
63.0,0.40043801094999987,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
